Symbol,Name,Last,1M %Chg,52W %Chg,50D Rel Str,100D His Vol,Std Dev,EPS Growth Prv Yr,PEG,ROA%,Debt/Equity
FRC,First Republic Bank,194.57,0.06,0.72,0.56,0.22,-0.46,0.39,1.34,0.01,1.14
FRT,Federal Realty Investment Trust,115.85,-0.02,0.54,0.53,0.24,-1.17,-0.22,N/A,0.02,1.78
FTNT,Fortinet Inc,270.75,0.12,1.02,0.70,0.29,1.81,0.46,6.57,0.10,1.01
FTV,Fortive Corp,69.16,-0.01,-0.03,0.48,0.21,-0.54,-0.15,4.50,0.07,0.16
GD,General Dynamics Corp,190.57,0.01,0.26,0.54,0.17,-0.47,0.02,2.29,0.06,0.65
GE,General Electric Company,12.70,-0.03,0.80,0.49,0.30,-1.25,-0.40,11.23,0.00,1.90
GILD,Gilead Sciences Inc,68.65,0.02,-0.10,0.54,0.17,0.48,0.24,0.63,0.15,1.55
GIS,General Mills,58.80,-0.02,-0.09,0.46,0.18,-0.35,-0.17,2.15,0.07,1.06
GL,Globe Life Inc,92.91,-0.02,0.23,0.46,0.25,-0.59,-0.12,N/A,0.03,0.21
GLW,Corning Inc,40.43,0.01,0.37,0.48,0.24,-0.92,1.25,1.06,0.05,0.68
GM,General Motors Company,55.64,-0.06,1.12,0.49,0.33,-1.28,2.63,0.83,0.04,1.40
GNRC,Generac Holdings Inc,444.59,0.12,2.28,0.64,0.39,-0.36,1.74,6.60,0.16,0.55
GOOG,Alphabet Cl C,2666.57,0.05,0.70,0.64,0.19,0.64,1.66,1.59,0.17,0.06
GOOGL,Alphabet Cl A,2568.43,0.05,0.64,0.62,0.20,0.77,1.66,1.53,0.17,0.06
GPC,Genuine Parts Company,126.37,0.01,0.42,0.53,0.20,-1.75,0.63,2.92,0.06,0.74
GPN,Global Payments Inc,191.07,-0.01,0.07,0.48,0.20,-0.26,0.15,1.28,0.04,0.36
GPS,Gap Inc,29.02,-0.10,1.26,0.48,0.45,-0.57,1.19,1.31,0.03,0.85
GRMN,Garmin Ltd,151.07,0.06,0.49,0.61,0.16,-0.78,0.30,4.07,0.16,0.00
GS,Goldman Sachs Group,372.71,0.04,0.81,0.55,0.24,-0.12,1.40,N/A,0.02,2.48
GWW,W.W. Grainger,454.43,0.03,0.34,0.54,0.20,-0.59,0.06,1.67,0.13,1.14
HAL,Halliburton Company,20.55,-0.13,0.45,0.48,0.42,-0.37,-0.39,N/A,0.03,1.76
HAS,Hasbro Inc,93.24,0.00,0.18,0.48,0.18,-0.84,0.75,1.20,0.05,1.58
HBAN,Huntington Bcshs,13.75,0.01,0.49,0.47,0.33,-0.93,15.00,N/A,0.01,0.66
HBI,Hanesbrands Inc,17.87,-0.04,0.27,0.47,0.36,-0.72,6.80,1.30,0.08,7.53
HCA,Hca Holdings Inc,246.79,0.18,1.02,0.66,0.30,-0.33,0.78,1.25,0.10,12.42
HD,Home Depot,326.66,0.04,0.23,0.57,0.18,0.10,0.86,1.99,0.22,10.86
HES,Hess Corp,74.99,-0.15,0.44,0.48,0.40,-0.86,2.37,N/A,-0.02,1.28
HIG,Hartford Financial Services Group,61.58,0.00,0.46,0.50,0.37,-1.03,-0.58,1.85,0.03,0.25
HII,Huntington Ingalls Industries,202.17,-0.04,0.13,0.49,0.21,-0.84,-0.13,N/A,0.07,0.85
HLT,Hilton Inc,123.21,-0.02,0.55,0.51,0.26,-0.72,-0.97,N/A,-0.01,N/A
HOLX,Hologic Inc,71.77,0.12,0.15,0.54,0.26,1.77,3.54,0.96,0.29,0.71
HON,Honeywell International Inc,232.74,0.08,0.51,0.56,0.21,0.23,-0.13,2.60,0.08,0.88
HPE,Hewlett Packard Enterprise Comp,14.02,-0.04,0.44,0.46,0.27,-0.86,-0.14,2.40,0.03,0.74
HPQ,HP Inc,27.80,-0.05,0.57,0.45,0.30,-1.61,0.82,0.93,0.11,N/A
HRL,Hormel Foods Corp,46.76,-0.02,-0.06,0.47,0.18,-1.28,0.00,3.78,0.09,0.16
HSIC,Henry Schein Inc,76.44,0.00,0.13,0.53,0.24,-0.77,0.32,1.61,0.06,0.13
HST,Host Marriott Financial Trust,15.91,-0.09,0.46,0.47,0.29,-1.36,-0.96,N/A,-0.07,0.90
HSY,Hershey Foods Corp,176.91,0.03,0.28,0.58,0.13,-0.77,0.18,3.40,0.15,1.81
HUM,Humana Inc,463.70,0.06,0.15,0.57,0.18,0.06,0.42,1.62,0.07,0.43
HWM,Howmet Aerospace Inc,32.33,-0.04,1.00,0.50,0.29,-0.75,-0.65,N/A,0.03,1.17
IBM,International Business Machines,140.71,-0.04,0.09,0.51,0.20,-0.33,0.07,1.58,0.05,2.38
ICE,Intercontinental Exchange,120.37,0.05,0.25,0.57,0.15,0.19,0.05,N/A,0.02,0.71
IDXX,Idexx Laboratories,683.03,0.12,0.87,0.68,0.22,2.06,0.82,4.27,0.31,1.11
IEX,Idex Corp,226.21,0.04,0.34,0.55,0.17,-0.54,0.14,3.00,0.10,0.40
IFF,International Flavors & Fragrances,146.05,-0.02,0.14,0.54,0.17,0.70,-0.01,2.42,0.04,0.52
